Manzana ,Lote ,Superficie ,Estado ,Cuota ,Total ,Descuento ,Contado ,Entrega  ,FALSE 
8,16,"362,84",Libre,660.000Gs.,85.800.000Gs.,20%,68.640.000Gs.,,63
8,15,"399,23",Libre,660.000Gs.,85.800.000Gs.,20%,68.640.000Gs.,,63
8,10,"402,23",Libre (R),600.000Gs.,78.000.000Gs.,20%,62.400.000Gs.,,63
7,9,"443,04",Libre,680.000Gs.,88.400.000Gs.,20%,70.720.000Gs.,,63
7,8,"443,04",Libre,680.000Gs.,88.400.000Gs.,20%,70.720.000Gs.,,63
7,7,"443,04",Libre,680.000Gs.,88.400.000Gs.,20%,70.720.000Gs.,,63
7,6,"443,04",Libre,680.000Gs.,88.400.000Gs.,20%,70.720.000Gs.,,63
7,5,"443,04",Libre,680.000Gs.,88.400.000Gs.,20%,70.720.000Gs.,,63
7,4,"449,30",Libre,740.000Gs.,96.200.000Gs.,20%,76.960.000Gs.,,63
7,32,"434,75",Libre,760.000Gs.,98.800.000Gs.,20%,79.040.000Gs.,,63
7,31,"431,33",Libre,760.000Gs.,98.800.000Gs.,20%,79.040.000Gs.,,63
7,30,"427,90",Libre,760.000Gs.,98.800.000Gs.,20%,79.040.000Gs.,,63
7,3,"449,47",Libre,720.000Gs.,93.600.000Gs.,20%,74.880.000Gs.,,63
7,29,"424,48",Libre,760.000Gs.,98.800.000Gs.,20%,79.040.000Gs.,,63
7,28,"421,05",Libre,760.000Gs.,98.800.000Gs.,20%,79.040.000Gs.,,63
7,25,"410,78",Libre,760.000Gs.,98.800.000Gs.,20%,79.040.000Gs.,,63
7,24,"415,09",Libre,760.000Gs.,98.800.000Gs.,20%,79.040.000Gs.,,63
7,21,"360,36",Libre,760.000Gs.,98.800.000Gs.,20%,79.040.000Gs.,,63
7,2,"430,19",Libre,720.000Gs.,93.600.000Gs.,20%,74.880.000Gs.,,63
7,12,"443,04",Libre,600.000Gs.,78.000.000Gs.,20%,62.400.000Gs.,,63
7,11,"443,04",Libre,650.000Gs.,84.500.000Gs.,20%,67.600.000Gs.,,63
7,10,"443,04",Libre,680.000Gs.,88.400.000Gs.,20%,70.720.000Gs.,,63
7,1,"429,85",Libre,800.000Gs.,104.000.000Gs.,20%,83.200.000Gs.,,63
6,7,"445,44",Libre (R),700.000Gs.,91.000.000Gs.,20%,72.800.000Gs.,,63
6,26,"474,43",Libre (R),760.000Gs.,98.800.000Gs.,20%,79.040.000Gs.,,63
6,22,"460,73",Libre,760.000Gs.,98.800.000Gs.,20%,79.040.000Gs.,,63
6,21,"457,31",Libre,760.000Gs.,98.800.000Gs.,20%,79.040.000Gs.,,63
6,20,"453,89",Libre,760.000Gs.,98.800.000Gs.,20%,79.040.000Gs.,,63
6,18,"452,16",Libre,720.000Gs.,93.600.000Gs.,20%,74.880.000Gs.,,63
6,17,"457,73",Libre,720.000Gs.,93.600.000Gs.,20%,74.880.000Gs.,,63
6,15,"445,44",Libre,700.000Gs.,91.000.000Gs.,20%,72.800.000Gs.,,63
6,14,"445,44",Libre,700.000Gs.,91.000.000Gs.,20%,72.800.000Gs.,,63
6,13,"445,44",Libre,700.000Gs.,91.000.000Gs.,20%,72.800.000Gs.,,63
6,12,"445,44",Libre,700.000Gs.,91.000.000Gs.,20%,72.800.000Gs.,,63
6,11,"445,44",Libre,700.000Gs.,91.000.000Gs.,20%,72.800.000Gs.,,63
6,10,"445,44",Libre (R),700.000Gs.,91.000.000Gs.,20%,72.800.000Gs.,,63
6,1,"431,81",Libre (R),850.000Gs.,110.500.000Gs.,20%,88.400.000Gs.,,63
4,3,"360,00",Libre (R),650.000Gs.,84.500.000Gs.,20%,67.600.000Gs.,,63
4,13,"375,77",Libre (R),600.000Gs.,78.000.000Gs.,20%,62.400.000Gs.,,63
3,20,"360,00",Libre (R),600.000Gs.,78.000.000Gs.,20%,62.400.000Gs.,,63
3,15,"360,00",Libre (R),600.000Gs.,78.000.000Gs.,20%,62.400.000Gs.,,63
3,10,"360,00",Libre (R),600.000Gs.,78.000.000Gs.,20%,62.400.000Gs.,,63
2,2,"528,68",Libre,750.000Gs.,97.500.000Gs.,20%,78.000.000Gs.,,63
17,9,"360,00",Libre,760.000Gs.,98.800.000Gs.,20%,79.040.000Gs.,,63
17,8,"360,00",Libre,760.000Gs.,98.800.000Gs.,20%,79.040.000Gs.,,63
17,7,"360,00",Libre,760.000Gs.,98.800.000Gs.,20%,79.040.000Gs.,,63
17,6,"360,00",Libre,760.000Gs.,98.800.000Gs.,20%,79.040.000Gs.,,63
17,5,"360,00",Libre,760.000Gs.,98.800.000Gs.,20%,79.040.000Gs.,,63
17,4,"360,00",Libre,780.000Gs.,101.400.000Gs.,20%,81.120.000Gs.,,63
17,3,"360,00",Libre,660.000Gs.,85.800.000Gs.,20%,68.640.000Gs.,,63
17,2,"360,00",Libre,660.000Gs.,85.800.000Gs.,20%,68.640.000Gs.,,63
17,19,"360,00",Libre,650.000Gs.,84.500.000Gs.,20%,67.600.000Gs.,,63
17,18,"360,00",Libre,650.000Gs.,84.500.000Gs.,20%,67.600.000Gs.,,63
17,17,"360,00",Libre,650.000Gs.,84.500.000Gs.,20%,67.600.000Gs.,,63
17,15,"360,00",Libre,650.000Gs.,84.500.000Gs.,20%,67.600.000Gs.,,63
17,10,"360,00",Libre,760.000Gs.,98.800.000Gs.,20%,79.040.000Gs.,,63
16,5,"360,00",Libre (R),650.000Gs.,84.500.000Gs.,20%,67.600.000Gs.,,63
16,16,"360,00",Libre (R),600.000Gs.,78.000.000Gs.,20%,62.400.000Gs.,,63
16,12,"384,00",Libre,780.000Gs.,101.400.000Gs.,20%,81.120.000Gs.,,63
16,11,"384,00",Libre,760.000Gs.,98.800.000Gs.,20%,79.040.000Gs.,,63
16,10,"384,00",Libre,760.000Gs.,98.800.000Gs.,20%,79.040.000Gs.,,63
15,9,"384,00",Libre,760.000Gs.,98.800.000Gs.,20%,79.040.000Gs.,,63
15,3,"360,00",Libre (R),650.000Gs.,84.500.000Gs.,20%,67.600.000Gs.,,63
15,14,"360,00",Libre,600.000Gs.,78.000.000Gs.,20%,62.400.000Gs.,,63
15,13,"360,00",Libre,600.000Gs.,78.000.000Gs.,20%,62.400.000Gs.,,63
15,12,"384,00",Libre,780.000Gs.,101.400.000Gs.,20%,81.120.000Gs.,,63
15,11,"384,00",Libre,760.000Gs.,98.800.000Gs.,20%,79.040.000Gs.,,63
15,10,"384,00",Libre,760.000Gs.,98.800.000Gs.,20%,79.040.000Gs.,,63
15,1,"384,00",Libre (R),650.000Gs.,84.500.000Gs.,20%,67.600.000Gs.,,63
13,7,"395,49",Libre,760.000Gs.,98.800.000Gs.,20%,79.040.000Gs.,,63
13,4,"388,80",Libre,660.000Gs.,85.800.000Gs.,20%,68.640.000Gs.,,63
13,3,"388,80",Libre,660.000Gs.,85.800.000Gs.,20%,68.640.000Gs.,,63
13,2,"388,80",Libre,660.000Gs.,85.800.000Gs.,20%,68.640.000Gs.,,63
13,17,"445,80",Libre,700.000Gs.,91.000.000Gs.,20%,72.800.000Gs.,,63
13,16,"390,04",Libre,680.000Gs.,88.400.000Gs.,20%,70.720.000Gs.,,63
13,13,"371,48",Libre,680.000Gs.,88.400.000Gs.,20%,70.720.000Gs.,,63
13,11,"361,39",Libre,760.000Gs.,98.800.000Gs.,20%,79.040.000Gs.,,63
13,1,"389,37",Libre,680.000Gs.,88.400.000Gs.,20%,70.720.000Gs.,,63
11,8,"429,80",Libre,700.000Gs.,91.000.000Gs.,20%,72.800.000Gs.,,63
10,25,"360,00",Libre,720.000Gs.,93.600.000Gs.,20%,74.880.000Gs.,,63
10,24,"360,00",Libre,720.000Gs.,93.600.000Gs.,20%,74.880.000Gs.,,63
10,23,"361,90",Libre,720.000Gs.,93.600.000Gs.,20%,74.880.000Gs.,,63
10,22,"362,74",Libre,720.000Gs.,93.600.000Gs.,20%,74.880.000Gs.,,63
10,21,"381,87",Libre,720.000Gs.,93.600.000Gs.,20%,74.880.000Gs.,,63
10,20,"416,98",Libre,720.000Gs.,93.600.000Gs.,20%,74.880.000Gs.,,63
10,19,"382,10",Libre,740.000Gs.,96.200.000Gs.,20%,76.960.000Gs.,,63
10,18,"360,00",Libre,720.000Gs.,93.600.000Gs.,20%,74.880.000Gs.,,63
